Date,Region,Product_Service_Name,Category_Department,Revenue,Cost,Profit,Profit_Margin_pct,Units_Sold,Inventory_Level,Return_Rate_pct,Order_ID,Customer_ID,Customer_Segment,Campaign_Name,Conversion_Rate_pct,Customer_Satisfaction_Score,Average_Order_Value,Month,Quarter,Year,Week_Number
22-10-2025,North,CRM Suite,Software,389112.08,238513.28,150598.79,38.7,228,,0,ORD-207291,CUST-76319,Online,Back-to-School,0.101,3,1706.63,2025-10,2025-Q4,2025,43
04-09-2024,South,E-Reader,Electronics,282546.02,173193.84,109352.18,38.7,299,4596,0.09,ORD-747017,CUST-18764,Online,Holiday Sale,0.041,3,944.97,2024-09,2024-Q3,2024,36
28-08-2024,West,Cloud Subscription,Software,461007.4,274503.21,186504.19,40.46,295,,0,ORD-776178,CUST-68497,Retail,Summer Sale,0.027,2,1562.74,2024-08,2024-Q3,2024,35
18-02-2025,West,Data Analytics Tool,Software,342989.08,208254.45,134734.64,39.28,224,,0,ORD-338631,CUST-40801,Online,Back-to-School,0.065,5,1531.2,2025-02,2025-Q1,2025,8
11-08-2024,West,Polo Shirt,Apparel,39548.39,24170.59,15377.8,38.88,245,4241,0.055,ORD-160738,CUST-39097,Online,Summer Sale,0.134,2,161.42,2024-08,2024-Q3,2024,32
11-08-2025,West,Deluxe Widget,Electronics,28058.33,16747.14,11311.19,40.31,75,3695,0.028,ORD-963047,CUST-14689,Online,Back-to-School,0.123,4,374.11,2025-08,2025-Q3,2025,33
21-05-2025,South,Polo Shirt,Apparel,9276.37,6357.47,2918.9,31.47,58,4756,0.057,ORD-966405,CUST-73195,Wholesale,Holiday Sale,0.126,3,159.94,2025-05,2025-Q2,2025,21
10-10-2024,North,Wireless Headphones,Electronics,44446.2,27635.26,16810.94,37.82,132,320,0.023,ORD-789416,CUST-88361,Wholesale,Q1 Launch,0.113,4,336.71,2024-10,2024-Q4,2024,41
25-08-2024,West,Cloud Subscription,Software,483581.32,265044.91,218536.41,45.19,252,,0,ORD-675015,CUST-21023,Online,Back-to-School,0.097,3,1918.97,2024-08,2024-Q3,2024,34
06-07-2024,North,Deluxe Widget,Electronics,20975.44,11227.05,9748.39,46.48,51,521,0.017,ORD-105736,CUST-73098,Retail,Spring Promo,0.142,4,411.28,2024-07,2024-Q3,2024,27
04-01-2025,South,Consulting Hour,Services,31181.56,18161.79,13019.76,41.75,161,,0,ORD-681122,CUST-16083,Online,Spring Promo,0.115,4,193.67,2025-01,2025-Q1,2025,1
11-10-2024,East,CRM Suite,Software,447810.96,300823.87,146987.09,32.82,287,,0,ORD-356717,CUST-29063,Online,Holiday Sale,0.124,4,1560.32,2024-10,2024-Q4,2024,41
29-08-2024,East,Maintenance Contract,Services,7374.17,5179.29,2194.87,29.76,71,,0,ORD-269306,CUST-24887,Retail,Back-to-School,0.101,5,103.86,2024-08,2024-Q3,2024,35
30-12-2024,North,Smart Monitor,Electronics,45065.38,27248.95,17816.44,39.53,75,3001,0.036,ORD-673127,CUST-58631,Retail,Holiday Sale,0.081,4,600.87,2024-12,2024-Q4,2024,1
02-08-2024,West,Jacket,Apparel,36291.8,24224.31,12067.5,33.25,293,236,0.05,ORD-328388,CUST-63355,Retail,Back-to-School,0.083,1,123.86,2024-08,2024-Q3,2024,31
07-01-2025,West,Jacket,Apparel,16011.55,11610.46,4401.08,27.49,138,4343,0.044,ORD-245040,CUST-12445,Online,Spring Promo,0.15,4,116.03,2025-01,2025-Q1,2025,2
31-03-2025,East,Wireless Headphones,Electronics,103729.38,69721.37,34008.01,32.79,292,2950,0.066,ORD-171380,CUST-90091,Online,Spring Promo,0.106,5,355.24,2025-03,2025-Q1,2025,14
12-09-2024,East,Hoodie,Apparel,6426.75,4318.81,2107.94,32.8,69,1930,0.044,ORD-566399,CUST-56268,Retail,Q1 Launch,0.043,4,93.14,2024-09,2024-Q3,2024,37
25-12-2024,West,Deluxe Widget,Electronics,87486.46,54332.41,33154.05,37.9,147,2040,0.045,ORD-450360,CUST-21919,Online,Summer Sale,0.088,3,595.15,2024-12,2024-Q4,2024,52
28-05-2025,South,Smart Monitor,Electronics,69925.55,36704.39,33221.15,47.51,219,1866,0.098,ORD-390109,CUST-53771,Online,Q1 Launch,0.092,4,319.29,2025-05,2025-Q2,2025,22
15-08-2024,North,Hoodie,Apparel,1818.05,1361.06,456.99,25.14,32,2689,0.066,ORD-384699,CUST-48371,Retail,Spring Promo,0.147,5,56.81,2024-08,2024-Q3,2024,33
09-04-2025,West,Installation Service,Services,25566.98,17511.8,8055.17,31.51,86,,0,ORD-676070,CUST-38024,Retail,Summer Sale,0.098,5,297.29,2025-04,2025-Q2,2025,15
09-07-2024,South,CRM Suite,Software,57012.77,35627.75,21385.03,37.51,111,,0,ORD-801260,CUST-97351,Online,Q1 Launch,0.136,5,513.63,2024-07,2024-Q3,2024,28
21-05-2024,East,Deluxe Widget,Electronics,117005.26,62904.77,54100.49,46.24,154,1935,0.035,ORD-568950,CUST-29785,Retail,Summer Sale,0.107,5,759.77,2024-05,2024-Q2,2024,21
22-08-2024,South,E-Reader,Electronics,178972.66,111965.19,67007.46,37.44,191,1703,0.06,ORD-241778,CUST-91904,Online,Holiday Sale,0.114,5,937.03,2024-08,2024-Q3,2024,34
13-10-2024,South,E-Reader,Electronics,7449.13,5428.15,2020.98,27.13,23,2995,0.04,ORD-185812,CUST-43734,Online,Spring Promo,0.112,2,323.88,2024-10,2024-Q4,2024,41
31-10-2024,North,Cloud Subscription,Software,290027.57,197587.56,92440,31.87,220,,0,ORD-224701,CUST-92322,Retail,Summer Sale,0.074,3,1318.31,2024-10,2024-Q4,2024,44
28-10-2024,West,ERP Module,Software,58159.98,43179.69,14980.29,25.76,37,,0,ORD-232513,CUST-31002,Retail,Back-to-School,0.102,3,1571.89,2024-10,2024-Q4,2024,44
14-06-2025,North,Cloud Subscription,Software,277728.86,151305.38,126423.48,45.52,134,,0,ORD-552003,CUST-22968,Online,Q1 Launch,0.026,2,2072.6,2025-06,2025-Q2,2025,24
19-10-2025,South,Smart Monitor,Electronics,155517.62,114114.32,41403.3,26.62,176,2182,0.056,ORD-797632,CUST-91345,Retail,Holiday Sale,0.031,4,883.62,2025-10,2025-Q4,2025,42
20-11-2024,South,CRM Suite,Software,391583.82,230569.39,161014.44,41.12,298,,0,ORD-355485,CUST-51533,Retail,Back-to-School,0.106,3,1314.04,2024-11,2024-Q4,2024,47
06-11-2024,East,Consulting Hour,Services,81738.84,60868.98,20869.87,25.53,122,,0,ORD-152261,CUST-89754,Retail,Holiday Sale,0.025,4,669.99,2024-11,2024-Q4,2024,45
18-09-2024,South,E-Reader,Electronics,71519.09,49054.5,22464.59,31.41,276,2436,0.085,ORD-165376,CUST-14388,Online,Summer Sale,0.147,4,259.13,2024-09,2024-Q3,2024,38
18-09-2024,North,Wireless Headphones,Electronics,94553.36,49850.14,44703.21,47.28,249,3120,0.065,ORD-200133,CUST-67875,Retail,Summer Sale,0.091,4,379.73,2024-09,2024-Q3,2024,38
02-06-2024,South,Hoodie,Apparel,4490.85,2372.27,2118.58,47.18,79,2596,0.087,ORD-691249,CUST-71161,Wholesale,Holiday Sale,0.137,4,56.85,2024-06,2024-Q2,2024,22
08-07-2024,East,Installation Service,Services,154365.65,111117.26,43248.39,28.02,291,,0,ORD-412548,CUST-26829,Retail,Summer Sale,0.029,1,530.47,2024-07,2024-Q3,2024,28
16-07-2024,South,Jacket,Apparel,46138.07,26494.25,19643.82,42.58,276,3199,0.073,ORD-591278,CUST-43311,Retail,Q1 Launch,0.087,5,167.17,2024-07,2024-Q3,2024,29
28-08-2024,West,Cloud Subscription,Software,36309.87,21260.37,15049.5,41.45,22,,0,ORD-918983,CUST-71638,Retail,Spring Promo,0.069,4,1650.45,2024-08,2024-Q3,2024,35
26-09-2025,West,Consulting Hour,Services,126497.52,86953.58,39543.94,31.26,281,,0,ORD-687993,CUST-26071,Online,Spring Promo,0.069,1,450.17,2025-09,2025-Q3,2025,39
12-03-2025,West,Smart Monitor,Electronics,37874.76,25631.03,12243.72,32.33,67,1947,0.05,ORD-592211,CUST-28710,Wholesale,Q1 Launch,0.149,4,565.29,2025-03,2025-Q1,2025,11
30-01-2025,South,CRM Suite,Software,77873.17,50285.94,27587.23,35.43,42,,0,ORD-868462,CUST-29311,Retail,Summer Sale,0.04,2,1854.12,2025-01,2025-Q1,2025,5
20-08-2025,North,Maintenance Contract,Services,3735.82,2288.58,1447.24,38.74,21,,0,ORD-901089,CUST-96789,Retail,Back-to-School,0.045,3,177.9,2025-08,2025-Q3,2025,34
11-04-2025,North,Premium Support,Services,27272.05,16989.06,10282.99,37.71,246,,0,ORD-987649,CUST-99439,Online,Spring Promo,0.101,3,110.86,2025-04,2025-Q2,2025,15
22-09-2024,South,Cloud Subscription,Software,350013.27,176270.25,173743.02,49.64,236,,0,ORD-533336,CUST-61368,Online,Back-to-School,0.103,3,1483.11,2024-09,2024-Q3,2024,38
12-08-2025,East,Data Analytics Tool,Software,350726.66,261523.04,89203.62,25.43,180,,0,ORD-366642,CUST-75832,Retail,Spring Promo,0.141,4,1948.48,2025-08,2025-Q3,2025,33
21-11-2024,North,Consulting Hour,Services,41617.26,26952.49,14664.77,35.24,88,,0,ORD-429350,CUST-22289,Online,Holiday Sale,0.063,4,472.92,2024-11,2024-Q4,2024,47
15-05-2024,West,CRM Suite,Software,196195.63,143906.73,52288.91,26.65,225,,0,ORD-526267,CUST-70009,Online,Back-to-School,0.072,4,871.98,2024-05,2024-Q2,2024,20
09-10-2025,North,Consulting Hour,Services,112182.63,68855.54,43327.09,38.62,188,,0,ORD-129312,CUST-48941,Retail,Summer Sale,0.134,5,596.72,2025-10,2025-Q4,2025,41
07-07-2025,West,Data Analytics Tool,Software,262925.72,187058.03,75867.68,28.86,253,,0,ORD-922205,CUST-98351,Online,Back-to-School,0.142,4,1039.23,2025-07,2025-Q3,2025,28
22-06-2025,West,Smart Monitor,Electronics,80663.28,57091.69,23571.59,29.22,262,2928,0.099,ORD-436618,CUST-30351,Online,Back-to-School,0.117,5,307.88,2025-06,2025-Q2,2025,25
08-05-2024,West,Polo Shirt,Apparel,8642.67,4534.01,4108.66,47.54,75,2418,0.018,ORD-454655,CUST-87845,Retail,Q1 Launch,0.091,4,115.24,2024-05,2024-Q2,2024,19
06-05-2024,North,Maintenance Contract,Services,93961.38,65360.1,28601.27,30.44,254,,0,ORD-295898,CUST-38801,Online,Holiday Sale,0.099,2,369.93,2024-05,2024-Q2,2024,19
06-10-2024,North,ERP Module,Software,130417.85,97552.12,32865.73,25.2,91,,0,ORD-650619,CUST-41052,Retail,Holiday Sale,0.072,5,1433.16,2024-10,2024-Q4,2024,40
17-11-2024,South,Cloud Subscription,Software,286930.62,207425.3,79505.32,27.71,188,,0,ORD-847127,CUST-43121,Wholesale,Back-to-School,0.097,4,1526.23,2024-11,2024-Q4,2024,46
27-05-2024,East,Consulting Hour,Services,16159.82,10721.65,5438.17,33.65,56,,0,ORD-517904,CUST-11700,Retail,Q1 Launch,0.105,4,288.57,2024-05,2024-Q2,2024,22
18-05-2024,North,Cloud Subscription,Software,761374.49,385386.97,375987.52,49.38,252,,0,ORD-706586,CUST-56653,Online,Holiday Sale,0.065,4,3021.33,2024-05,2024-Q2,2024,20
17-08-2025,North,Smart Monitor,Electronics,80313.45,57543.3,22770.14,28.35,122,2569,0.06,ORD-131218,CUST-68429,Online,Summer Sale,0.134,5,658.31,2025-08,2025-Q3,2025,33
17-09-2024,South,Maintenance Contract,Services,37287.98,23226.32,14061.67,37.71,114,,0,ORD-435282,CUST-20283,Online,Back-to-School,0.086,1,327.09,2024-09,2024-Q3,2024,38
19-09-2025,South,Polo Shirt,Apparel,9721.8,5944.44,3777.37,38.85,193,3282,0.074,ORD-209325,CUST-55720,Retail,Holiday Sale,0.11,3,50.37,2025-09,2025-Q3,2025,38
07-08-2025,West,Deluxe Widget,Electronics,15526.54,10153.48,5373.06,34.61,46,2585,0.07,ORD-314445,CUST-44586,Retail,Summer Sale,0.147,4,337.53,2025-08,2025-Q3,2025,32
24-06-2025,West,Deluxe Widget,Electronics,89973.68,57649.28,32324.4,35.93,143,3990,0.091,ORD-621289,CUST-95214,Online,Q1 Launch,0.026,3,629.19,2025-06,2025-Q2,2025,26
29-06-2025,East,ERP Module,Software,126837.16,84674.17,42162.99,33.24,143,,0,ORD-348460,CUST-98633,Retail,Spring Promo,0.023,4,886.97,2025-06,2025-Q2,2025,26
07-09-2025,South,Smart Monitor,Electronics,46311.57,31665.99,14645.58,31.62,91,2188,0.078,ORD-722304,CUST-70734,Retail,Holiday Sale,0.092,3,508.92,2025-09,2025-Q3,2025,36
05-07-2024,North,Smart Monitor,Electronics,12208.68,7656.49,4552.2,37.29,34,2535,0.037,ORD-783551,CUST-98218,Online,Spring Promo,0.114,2,359.08,2024-07,2024-Q3,2024,27
25-08-2024,East,Cloud Subscription,Software,162003.44,96009.21,65994.22,40.74,213,,0,ORD-242303,CUST-25927,Retail,Spring Promo,0.045,4,760.58,2024-08,2024-Q3,2024,34
03-03-2025,North,Installation Service,Services,202431.03,113379.7,89051.33,43.99,279,,0,ORD-246167,CUST-73448,Online,Holiday Sale,0.059,4,725.56,2025-03,2025-Q1,2025,10
03-08-2025,West,E-Reader,Electronics,77785.31,44201.47,33583.83,43.18,113,1588,0.078,ORD-365378,CUST-99436,Retail,Spring Promo,0.089,5,688.37,2025-08,2025-Q3,2025,31
30-09-2025,South,T-Shirt,Apparel,12312.04,7037.63,5274.41,42.84,196,596,0.058,ORD-810713,CUST-91169,Online,Holiday Sale,0.107,5,62.82,2025-09,2025-Q3,2025,40
11-06-2025,East,ERP Module,Software,556299.98,326575.07,229724.91,41.3,224,,0,ORD-783936,CUST-27963,Online,Q1 Launch,0.02,5,2483.48,2025-06,2025-Q2,2025,24
01-05-2025,North,CRM Suite,Software,75958.9,39529.51,36429.38,47.96,59,,0,ORD-546771,CUST-13728,Retail,Spring Promo,0.059,4,1287.44,2025-05,2025-Q2,2025,18
08-11-2024,North,Jacket,Apparel,21929.07,11878.36,10050.71,45.83,146,3574,0.051,ORD-549614,CUST-28697,Retail,Holiday Sale,0.146,3,150.2,2024-11,2024-Q4,2024,45
04-10-2025,East,Maintenance Contract,Services,76071.13,52669.31,23401.82,30.76,110,,0,ORD-208171,CUST-88033,Retail,Holiday Sale,0.041,4,691.56,2025-10,2025-Q4,2025,40
30-07-2025,East,Maintenance Contract,Services,52246.76,29577.38,22669.37,43.39,80,,0,ORD-666719,CUST-44792,Retail,Summer Sale,0.026,4,653.08,2025-07,2025-Q3,2025,31
09-06-2024,West,Deluxe Widget,Electronics,31707.54,23530.51,8177.03,25.79,95,1442,0.067,ORD-499594,CUST-77321,Online,Back-to-School,0.077,3,333.76,2024-06,2024-Q2,2024,23
06-05-2024,West,ERP Module,Software,405126.97,255389.12,149737.85,36.96,252,,0,ORD-258614,CUST-21902,Retail,Summer Sale,0.055,4,1607.65,2024-05,2024-Q2,2024,19
20-05-2025,North,Smart Monitor,Electronics,11862.86,5979.44,5883.41,49.6,22,2934,0.02,ORD-314061,CUST-92667,Online,Summer Sale,0.135,4,539.22,2025-05,2025-Q2,2025,21
19-10-2024,West,E-Reader,Electronics,89826.77,65926.76,23900.01,26.61,192,1340,0.082,ORD-452523,CUST-45437,Online,Back-to-School,0.145,2,467.85,2024-10,2024-Q4,2024,42
08-12-2024,South,E-Reader,Electronics,144667.97,82620.75,62047.22,42.89,223,2295,0.06,ORD-306395,CUST-22173,Online,Summer Sale,0.03,5,648.74,2024-12,2024-Q4,2024,49
21-12-2024,South,E-Reader,Electronics,47505.77,31961.09,15544.68,32.72,50,3662,0.078,ORD-792021,CUST-78180,Online,Holiday Sale,0.069,3,950.12,2024-12,2024-Q4,2024,51
30-06-2025,North,E-Reader,Electronics,45333.65,32715.21,12618.44,27.83,191,4168,0.059,ORD-968983,CUST-99694,Wholesale,Holiday Sale,0.128,2,237.35,2025-06,2025-Q2,2025,27
01-06-2025,South,Polo Shirt,Apparel,40713.74,26834.08,13879.66,34.09,229,3868,0.062,ORD-181735,CUST-20264,Wholesale,Q1 Launch,0.096,4,177.79,2025-06,2025-Q2,2025,22
19-01-2025,North,Installation Service,Services,88183.52,51705.06,36478.45,41.37,150,,0,ORD-248542,CUST-68001,Online,Summer Sale,0.109,4,587.89,2025-01,2025-Q1,2025,3
08-07-2024,South,Data Analytics Tool,Software,56942.94,42471.34,14471.59,25.41,40,,0,ORD-168408,CUST-68497,Wholesale,Spring Promo,0.105,4,1423.57,2024-07,2024-Q3,2024,28
14-06-2025,West,Polo Shirt,Apparel,2519.65,1626.57,893.09,35.44,92,1341,0.075,ORD-705279,CUST-59586,Online,Holiday Sale,0.086,4,27.39,2025-06,2025-Q2,2025,24
11-07-2024,East,Consulting Hour,Services,26589.24,17056.95,9532.29,35.85,210,,0,ORD-834263,CUST-29508,Retail,Q1 Launch,0.082,1,126.62,2024-07,2024-Q3,2024,28
19-11-2024,South,Data Analytics Tool,Software,255531.3,184649.89,70881.41,27.74,273,,0,ORD-290188,CUST-71244,Online,Spring Promo,0.085,4,936.01,2024-11,2024-Q4,2024,47
07-07-2025,East,Polo Shirt,Apparel,774.87,433.08,341.8,44.11,21,357,0.082,ORD-936757,CUST-97847,Online,Q1 Launch,0.084,1,36.9,2025-07,2025-Q3,2025,28
14-06-2024,East,Maintenance Contract,Services,65802.76,34155.88,31646.89,48.09,149,,0,ORD-928577,CUST-47957,Retail,Q1 Launch,0.027,4,441.63,2024-06,2024-Q2,2024,24
07-08-2024,East,Deluxe Widget,Electronics,162224.19,90345.22,71878.97,44.31,206,4042,0.032,ORD-777506,CUST-28937,Retail,Holiday Sale,0.102,4,787.5,2024-08,2024-Q3,2024,32
06-07-2025,North,Hoodie,Apparel,8859.03,5262.93,3596.1,40.59,164,364,0.016,ORD-829838,CUST-86787,Online,Summer Sale,0.064,5,54.02,2025-07,2025-Q3,2025,27
13-11-2024,South,Installation Service,Services,26164.72,16839.49,9325.23,35.64,72,,0,ORD-682586,CUST-12854,Retail,Back-to-School,0.135,3,363.4,2024-11,2024-Q4,2024,46
03-11-2024,West,Wireless Headphones,Electronics,31722.44,20906.29,10816.16,34.1,139,3027,0.062,ORD-686082,CUST-44380,Online,Summer Sale,0.106,2,228.22,2024-11,2024-Q4,2024,44
26-09-2024,West,E-Reader,Electronics,63159.6,46629.84,16529.75,26.17,250,3141,0.096,ORD-683442,CUST-75586,Online,Spring Promo,0.065,4,252.64,2024-09,2024-Q3,2024,39
09-09-2024,East,E-Reader,Electronics,23137.31,15886.36,7250.95,31.34,148,482,0.032,ORD-198175,CUST-50115,Retail,Back-to-School,0.096,3,156.33,2024-09,2024-Q3,2024,37
17-04-2025,South,ERP Module,Software,104591.75,52680.76,51910.99,49.63,57,,0,ORD-542342,CUST-35130,Wholesale,Q1 Launch,0.133,4,1834.94,2025-04,2025-Q2,2025,16
23-08-2024,South,Jacket,Apparel,12310.51,8232.6,4077.91,33.13,235,2979,0.07,ORD-830750,CUST-98904,Online,Holiday Sale,0.045,4,52.39,2024-08,2024-Q3,2024,34
07-09-2025,East,Premium Support,Services,20777.93,13423.95,7353.98,35.39,164,,0,ORD-911344,CUST-73700,Retail,Summer Sale,0.143,3,126.69,2025-09,2025-Q3,2025,36
22-07-2024,West,ERP Module,Software,17527.9,12034.13,5493.77,31.34,10,,0,ORD-256135,CUST-14694,Retail,Summer Sale,0.105,4,1752.79,2024-07,2024-Q3,2024,30
09-10-2024,West,Polo Shirt,Apparel,20398.8,10762.8,9636.01,47.24,296,3940,0.02,ORD-747913,CUST-98203,Retail,Back-to-School,0.12,4,68.91,2024-10,2024-Q4,2024,41
16-04-2025,North,Hoodie,Apparel,888.38,583.42,304.96,34.33,12,4328,0.087,ORD-614376,CUST-59498,Retail,Back-to-School,0.048,5,74.03,2025-04,2025-Q2,2025,16
25-12-2024,North,Deluxe Widget,Electronics,88785.54,61383.76,27401.78,30.86,99,2317,0.09,ORD-457435,CUST-57221,Retail,Spring Promo,0.133,5,896.82,2024-12,2024-Q4,2024,52
09-08-2024,North,ERP Module,Software,609735.9,379804.58,229931.32,37.71,293,,0,ORD-234673,CUST-27513,Online,Spring Promo,0.046,4,2081.01,2024-08,2024-Q3,2024,32
25-01-2025,North,Consulting Hour,Services,36444.65,26428.04,10016.61,27.48,218,,0,ORD-928643,CUST-98177,Retail,Holiday Sale,0.085,1,167.18,2025-01,2025-Q1,2025,4
27-05-2024,West,CRM Suite,Software,546604.28,362740.42,183863.86,33.64,222,,0,ORD-665369,CUST-60642,Retail,Summer Sale,0.046,5,2462.18,2024-05,2024-Q2,2024,22
29-08-2024,East,ERP Module,Software,250278.41,177418.96,72859.45,29.11,199,,0,ORD-889300,CUST-52610,Retail,Q1 Launch,0.093,3,1257.68,2024-08,2024-Q3,2024,35
11-05-2024,North,Deluxe Widget,Electronics,99959.45,63841.29,36118.16,36.13,139,2687,0.096,ORD-318446,CUST-37267,Online,Spring Promo,0.087,5,719.13,2024-05,2024-Q2,2024,19
22-07-2024,East,ERP Module,Software,185497.65,112312.54,73185.11,39.45,287,,0,ORD-374237,CUST-97128,Retail,Spring Promo,0.122,1,646.33,2024-07,2024-Q3,2024,30
04-10-2024,North,T-Shirt,Apparel,8252.82,6096.3,2156.53,26.13,204,1272,0.052,ORD-517819,CUST-73248,Wholesale,Q1 Launch,0.14,4,40.46,2024-10,2024-Q4,2024,40
12-11-2024,West,CRM Suite,Software,213056.59,129747.68,83308.91,39.1,121,,0,ORD-125208,CUST-50504,Online,Holiday Sale,0.033,4,1760.8,2024-11,2024-Q4,2024,46
18-07-2025,South,Smart Monitor,Electronics,117210.12,65648.87,51561.25,43.99,243,2115,0.082,ORD-885358,CUST-97433,Retail,Spring Promo,0.116,3,482.35,2025-07,2025-Q3,2025,29
02-11-2024,South,Jacket,Apparel,16896.31,12119.15,4777.16,28.27,244,3163,0.085,ORD-360951,CUST-77687,Online,Summer Sale,0.094,5,69.25,2024-11,2024-Q4,2024,44
28-10-2024,East,Jacket,Apparel,9022.11,4693.14,4328.97,47.98,111,2849,0.061,ORD-466979,CUST-76279,Retail,Holiday Sale,0.045,4,81.28,2024-10,2024-Q4,2024,44
26-01-2025,West,Hoodie,Apparel,12271.19,6495.75,5775.44,47.07,155,3635,0.031,ORD-669662,CUST-25464,Retail,Summer Sale,0.072,1,79.17,2025-01,2025-Q1,2025,4
30-06-2025,North,E-Reader,Electronics,41193.77,29362.34,11831.43,28.72,186,3074,0.058,ORD-781166,CUST-21151,Retail,Spring Promo,0.029,2,221.47,2025-06,2025-Q2,2025,27
